Ticker,Name,Volume,Price,Change,date
MRS,MRS Oil Nigeria,88785.0,109.95,0.0,2023-10-12
MTNN,MTN Nigeria,433828.0,250.0,0.0,2023-10-12
MULTITREX,Multi-Trex Integrated Foods,2577632.5833333335,0.36,,2023-10-12
MULTIVERSE,Multiverse Mining & Exploration,105050.0,2.95,0.0,2023-10-12
NAHCO,Nigerian Aviation Handling Co.,1889165.0,24.2,0.2,2023-10-12
NASCON,National Salt Company,605034.0,52.4,0.4,2023-10-12
NB,Nigerian Breweries,342629.0,42.0,0.0,2023-10-12
NCR,NCR Nigeria,2.0,3.96,0.0,2023-10-12
NEIMETH,Neimeth International Pharma,248135.0,1.59,0.0,2023-10-12
NEM,N.E.M. Insurance Company,74669.0,5.0,0.0,2023-10-12
NESF,Nigeria Energy Sector Fund,2577632.5833333335,552.2,,2023-10-12
NESTLE,Nestle Nigeria,43463.0,1025.0,0.0,2023-10-12
NGXGROUP,Nigerian Exchange Group,102919.0,22.5,0.0,2023-10-12
NIDF,Nigeria Infrastructure Debt Fund,41915.0,108.4,0.0,2023-10-12
NIGERINS,Niger Insurance Company,2577632.5833333335,0.2,,2023-10-12
NNFM,Northern Nigeria Flour Mills,64250.0,15.25,0.0,2023-10-12
NOTORE,Notore Chemical Industries Plc,3135.0,62.5,0.0,2023-10-12
NPFMCRFBK,NPF Microfinance Bank,45564.0,1.97,0.0,2023-10-12
NSLTECH,Secure Electronic Technology,18285.0,0.3,0.0,2023-10-12
OANDO,Oando Plc,6460499.0,9.05,-0.05,2023-10-12
OKOMUOIL,Okomu Oil Palm,162959.0,263.0,0.0,2023-10-12
OMATEK,Omatek Ventures,813801.0,0.46,0.02,2023-10-12
PHARMDEKO,Pharma-Deko Plc,2577632.5833333335,1.83,,2023-10-12
PREMPAINTS,Premier Paints,2577632.5833333335,10.0,,2023-10-12
PRESCO,Presco Plc,289516.0,182.0,0.0,2023-10-12
PRESTIGE,Prestige Assurance Company,8646.0,0.45,0.0,2023-10-12
PZ,PZ Cussons Nigeria,393944.0,19.75,0.0,2023-10-12
RAKUNITY,RAK Unity Petroleum Company,2577632.5833333335,0.3,,2023-10-12
REDSTAREX,Red Star Express Plc,28148.0,2.91,0.0,2023-10-12
REGALINS,Regency Alliance Insurance,3147900.0,0.34,-0.01,2023-10-12
RESORTSAL,Resort Savings & Loans,2577632.5833333335,0.2,,2023-10-12
RONCHESS,Ronchess Global Resources,2577632.5833333335,81.0,,2023-10-12
ROYALEX,Royal Exchange,48300.0,0.47,0.0,2023-10-12
RTBRISCOE,RT Briscoe,1101000.0,0.57,0.0,2023-10-12
SCOA,SCOA Nigeria,2577632.5833333335,1.14,,2023-10-12
SEPLAT,Seplat Petroleum Development Co.,193226.0,1837.0,0.0,2023-10-12
SFSREIT,Skye Shelter Fund Plc,293.0,92.15,0.0,2023-10-12
SKYAVN,Skyway Aviation Handling Co. Plc,2612.0,25.35,0.0,2023-10-12
SMURFIT,Smart Products Nigeria,2577632.5833333335,0.2,,2023-10-12
SOVRENINS,Sovereign Trust Insurance,12000.0,0.38,0.0,2023-10-12
STACO,Standard Trust Assurance,2577632.5833333335,0.48,,2023-10-12
STANBIC,Stanbic IBTC Holdings,92157.0,80.0,0.0,2023-10-12
STDINSURE,Standard Alliance Insurance,2577632.5833333335,0.2,,2023-10-12
STERLINGNG,Sterling Bank,3258839.0,3.4,0.0,2023-10-12
SUNUASSUR,Sunu Assurances Nigeria Plc,93880.0,1.04,0.0,2023-10-12
TANTALIZER,Tantalizers Plc,168447.0,0.29,0.0,2023-10-12
THOMASWY,Thomas Wyatt Nigeria,376140.0,2.58,0.23,2023-10-12
TIP,The Initiates Plc,2577632.5833333335,1.03,,2023-10-12
TOTAL,Total Nigeria,10757.0,385.0,0.0,2023-10-12
TOURIST,Tourist Company of Nigeria,2577632.5833333335,2.84,,2023-10-12
TRANSCOHOT,Transcorp Hotels Plc,8524.0,44.4,0.0,2023-10-12
TRANSCORP,Transcorp Nigeria,12916484.0,6.3,-0.13,2023-10-12
TRANSEXPR,Trans-Nationwide Express,50.0,1.05,0.0,2023-10-12
TRIPPLEG,Tripple Gee & Co. Plc,50790.0,2.38,0.0,2023-10-12
UACN,UAC of Nigeria,26354.0,10.8,0.0,2023-10-12
UBA,United Bank for Africa,28808028.0,17.5,0.25,2023-10-12
UBN,Union Bank Nigeria,75693.0,6.95,0.0,2023-10-12
UCAP,United Capital Plc,740706.0,16.55,-0.35,2023-10-12
UHOMREIT,Union Homes Real Estate Inv.,10054.0,36.6,0.0,2023-10-12
UNHOMES,Union Homes Savings & Loans,2577632.5833333335,3.02,,2023-10-12
UNILEVER,Unilever Nigeria,1000518.0,14.05,0.8,2023-10-12
UNIONDICON,Union Dicon Salt,2577632.5833333335,8.1,,2023-10-12
UNITYBNK,Unity Bank,1620379.0,0.98,0.0,2023-10-12
UNIVINSURE,Universal Insurance Company,12618588.0,0.24,0.0,2023-10-12
UPDC,UPDC Plc,1143544.0,1.32,0.0,2023-10-12
UPDCREIT,UPDC Real Estate Investment Trust,421732.0,3.55,0.0,2023-10-12
UPL,University Press,123750.0,2.15,0.0,2023-10-12
VANLEER,Greif Nigeria,2577632.5833333335,5.45,,2023-10-12
VERITASKAP,Veritas Kapital Assurance Plc,8952364.0,0.27,0.01,2023-10-12
VFDGROUP,VFD Group,75052.0,269.3,0.0,2023-10-12
VITAFOAM,Vitafoam Nigeria,181821.0,23.3,0.0,2023-10-12
WAPCO,Lafarge Wapco,469985.0,29.4,0.0,2023-10-12
WAPIC,Wapic Insurance,1019498.0,0.64,0.0,2023-10-12
WEMABANK,Wema Bank,4474055.0,4.8,0.01,2023-10-12
ZENITHBANK,Zenith Bank Plc,20481848.0,32.0,0.4,2023-10-12
